LineId,Content,EventId,EventTemplate
1,INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Setting up storage: nsid=1045414110;bpid=BP-185116165-155.230.91.226-1512025890710;lv=-56;nsInfo=lv=-63;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0;bpid=BP-185116165-155.230.91.226-1512025890710;dnuuid=739f4764-be88-4ed7-9185-754daec776ef,P14,INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Setting up storage: nsid=.*;bpid=.*;lv=.*;nsInfo=lv=.*;cid=.*;nsid=.*;c=.*;bpid=.*;dnuuid=.*
2,ERROR org.apache.hadoop.hdfs.server.datanode.DirectoryScanner: dfs.datanode.directoryscan.throttle.limit.ms.per.sec set to value below 1 ms/sec. Assuming default value of 1000,P25,ERROR org.apache.hadoop.hdfs.server.datanode.DirectoryScanner: dfs.datanode.directoryscan.throttle.limit.ms.per.sec set to value below .* ms/sec. Assuming default value of .*
3,"INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Successfully sent block report 0x89f8b6e8ee27,  containing 1 storage report(s), of which we sent 1. The reports had 149 total blocks and used 1 RPC(s). This took 3 msec to generate and 50 msecs for RPC and NN processing. Got back one command: FinalizeCommand/5.",P13,"INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Successfully sent block report .*, containing .* storage report(s), of which we sent 1. The reports had .* total blocks and used .* RPC(s). This took .* msec to generate and .* msecs for RPC and NN processing. Got back one command: FinalizeCommand/5."
4,"INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /155.230.91.226:34506, dest: /155.230.91.227:50010, bytes: 6161, op: HDFS_WRITE, cliID: DFSClient_NONMAPREDUCE_1533576792_1, offset: 0, srvID: 739f4764-be88-4ed7-9185-754daec776ef, blockid: BP-185116165-155.230.91.226-1512025890710:blk_1073742391_1567, duration: 82195989",P15,"INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: .*, dest: .*, bytes: .*, op: HDFS_WRITE, cliID: .*, offset: .*, srvID: .*, blockid: .*, duration: .*"
5,INFO org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetAsyncDiskService: Scheduling blk_1073742391_1567 file /home/james/hadoop-2.7.4/hdfs/data/current/BP-185116165-155.230.91.226-1512025890710/current/finalized/subdir0/subdir2/blk_1073742391 for deletion,P23,INFO org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetAsyncDiskService: Scheduling .* file .* for deletion
6,INFO org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetAsyncDiskService: Deleted BP-185116165-155.230.91.226-1512025890710 blk_1073742391_1567 file /home/james/hadoop-2.7.4/hdfs/data/current/BP-185116165-155.230.91.226-1512025890710/current/finalized/subdir0/subdir2/blk_1073742391,P24,INFO org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetAsyncDiskService: Deleted .* file .*
7,INFO org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.yarn.server.nodemanager.containermanager.container.ContainerEventType for class org.apache.hadoop.yarn.server.nodemanager.containermanager.ContainerManagerImpl$ContainerEventDispatcher,P35,INFO org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.yarn.server.nodemanager.containermanager.container.ContainerEventType for class org.apache.hadoop.yarn.server.nodemanager.containermanager.ContainerManagerImpl$ContainerEventDispatcher
8,INFO org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorEventType for class org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl,P33,INFO org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorEventType for class org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl
9,INFO org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.yarn.server.nodemanager.containermanager.loghandler.event.LogHandlerEventType for class org.apache.hadoop.yarn.server.nodemanager.containermanager.loghandler.NonAggregatingLogHandler,P34,INFO org.apache.hadoop.yarn.event.AsyncDispatcher: Registering class org.apache.hadoop.yarn.server.nodemanager.containermanager.loghandler.event.LogHandlerEventType for class org.apache.hadoop.yarn.server.nodemanager.containermanager.loghandler.NonAggregatingLogHandler
10,WARN org.apache.hadoop.yarn.server.nodemanager.containermanager.AuxServices: The Auxilurary Service named 'mapreduce_shuffle' in the configuration is for class org.apache.hadoop.mapred.ShuffleHandler which has a name of 'httpshuffle'. Because these are not the same tools trying to send ServiceData and read Service Meta Data may have issues unless the refer to the name in the config.,P3,WARN org.apache.hadoop.yarn.server.nodemanager.containermanager.AuxServices: The Auxilurary Service named 'mapreduce_shuffle' in the configuration is for class org.apache.hadoop.mapred.ShuffleHandler which has a name of 'httpshuffle'. Because these are not the same tools trying to send ServiceData and read Service Meta Data may have issues unless the refer to the name in the config.
11,INFO org.apache.hadoop.yarn.server.nodemanager.NMAuditLogger: USER=james	IP=155.230.91.229	OPERATION=Start Container Request	TARGET=ContainerManageImpl	RESULT=SUCCESS	APPID=application_1514014057225_0001	CONTAINERID=container_1514014057225_0001_01_000008,P11,INFO org.apache.hadoop.yarn.server.nodemanager.NMAuditLogger: USER=.* IP=.* OPERATION=.* Container Request TARGET=.* RESULT=.* APPID=.* CONTAINERID=.*
12,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalizedResource: Resource hdfs://deimos26:9000/tmp/hadoop-yarn/staging/james/.staging/job_1514014057225_0001/job.jar transitioned from INIT to DOWNLOADING,P26,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalizedResource: Resource .* transitioned from INIT to DOWNLOADING
13,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService: Writing credentials to the nmPrivate file /tmp/hadoop-james/nm-local-dir/nmPrivate/container_1514014057225_0001_01_000015.tokens. Credentials list: ,P20,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService: Writing credentials to the nmPrivate file .* Credentials list:
14,INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: Copying from /tmp/hadoop-james/nm-local-dir/nmPrivate/container_1514014057225_0001_01_000011.tokens to /tmp/hadoop-james/nm-local-dir/usercache/james/appcache/application_1514014057225_0001/container_1514014057225_0001_01_000011.tokens,P12,INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: Copying from .* to .*
15,"INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: launchContainer: [nice, -n, 0, bash, /tmp/hadoop-james/nm-local-dir/usercache/james/appcache/application_1514014057225_0001/container_1514014057225_0001_01_000010/default_container_executor.sh]",P21,"INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: launchContainer: [nice, -n, .*, bash, .*]"
16,INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Setting up storage: nsid=1045414110;bpid=BP-185116165-155.230.91.226-1512025890710;lv=-56;nsInfo=lv=-63;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0;bpid=BP-185116165-155.230.91.226-1512025890710;dnuuid=f5b2f78b-0b01-4ac6-b97e-231e7b222f86,P14,INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Setting up storage: nsid=.*;bpid=.*;lv=.*;nsInfo=lv=.*;cid=.*;nsid=.*;c=.*;bpid=.*;dnuuid=.*
17,ERROR org.apache.hadoop.hdfs.server.datanode.DirectoryScanner: dfs.datanode.directoryscan.throttle.limit.ms.per.sec set to value below 1 ms/sec. Assuming default value of 1000,P25,ERROR org.apache.hadoop.hdfs.server.datanode.DirectoryScanner: dfs.datanode.directoryscan.throttle.limit.ms.per.sec set to value below .* ms/sec. Assuming default value of .*
18,WARN org.apache.hadoop.yarn.server.nodemanager.containermanager.AuxServices: The Auxilurary Service named 'mapreduce_shuffle' in the configuration is for class org.apache.hadoop.mapred.ShuffleHandler which has a name of 'httpshuffle'. Because these are not the same tools trying to send ServiceData and read Service Meta Data may have issues unless the refer to the name in the config.,P3,WARN org.apache.hadoop.yarn.server.nodemanager.containermanager.AuxServices: The Auxilurary Service named 'mapreduce_shuffle' in the configuration is for class org.apache.hadoop.mapred.ShuffleHandler which has a name of 'httpshuffle'. Because these are not the same tools trying to send ServiceData and read Service Meta Data may have issues unless the refer to the name in the config.
19,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService: Writing credentials to the nmPrivate file /tmp/hadoop-james/nm-local-dir/nmPrivate/container_1514014057225_0001_01_000018.tokens. Credentials list: ,P20,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.ResourceLocalizationService: Writing credentials to the nmPrivate file .* Credentials list:
20,INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: Copying from /tmp/hadoop-james/nm-local-dir/nmPrivate/container_1514014057225_0001_01_000021.tokens to /tmp/hadoop-james/nm-local-dir/usercache/james/appcache/application_1514014057225_0001/container_1514014057225_0001_01_000021.tokens,P12,INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: Copying from .* to .*
21,INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Setting up storage: nsid=1045414110;bpid=BP-185116165-155.230.91.226-1512025890710;lv=-56;nsInfo=lv=-63;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0;bpid=BP-185116165-155.230.91.226-1512025890710;dnuuid=f2a4a3d9-cbe6-4687-ab71-97575b443a1e,P14,INFO org.apache.hadoop.hdfs.server.datanode.DataNode: Setting up storage: nsid=.*;bpid=.*;lv=.*;nsInfo=lv=.*;cid=.*;nsid=.*;c=.*;bpid=.*;dnuuid=.*
22,"INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /155.230.91.228:58606, dest: /155.230.91.229:50010, bytes: 3635, op: HDFS_WRITE, cliID: DFSClient_attempt_1514014057225_0001_r_000000_0_920314752_1, offset: 0, srvID: f2a4a3d9-cbe6-4687-ab71-97575b443a1e, blockid: BP-185116165-155.230.91.226-1512025890710:blk_1073742397_1573, duration: 34835530",P15,"INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: .*, dest: .*, bytes: .*, op: HDFS_WRITE, cliID: .*, offset: .*, srvID: .*, blockid: .*, duration: .*"
23,WARN org.apache.hadoop.hdfs.server.common.Util: Path /home/james/hadoop-2.7.4/hdfs/name should be specified as a URI in configuration files. Please update hdfs configuration.,P18,WARN org.apache.hadoop.hdfs.server.common.Util: Path .* should be specified as a URI in configuration files. Please update hdfs configuration.
24,WARN org.apache.hadoop.hdfs.server.common.Util: Path /home/james/hadoop-2.7.4/hdfs/name should be specified as a URI in configuration files. Please update hdfs configuration.,P18,WARN org.apache.hadoop.hdfs.server.common.Util: Path .* should be specified as a URI in configuration files. Please update hdfs configuration.
25,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(155.230.91.227:50010, datanodeUuid=739f4764-be88-4ed7-9185-754daec776ef, infoPort=50075, infoSecurePort=0, ipcPort=50020, storageInfo=lv=-56;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0) storage 739f4764-be88-4ed7-9185-754daec776ef",P16,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(.*, datanodeUuid=.*, infoPort=.*, infoSecurePort=.*, ipcPort=.*, storageInfo=lv=.*;cid=.*;nsid=.*;c=.*) storage .*"
26,"INFO BlockStateChange: BLOCK* processReport 0x89f8b6e8ee27: from storage DS-8c9519c2-2978-4f4b-94c2-c974e94b944f node DatanodeRegistration(155.230.91.227:50010, datanodeUuid=739f4764-be88-4ed7-9185-754daec776ef, infoPort=50075, infoSecurePort=0, ipcPort=50020, storageInfo=lv=-56;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0), blocks: 149, hasStaleStorage: false, processing time: 9 msecs",P29,"INFO BlockStateChange: BLOCK* processReport .*: from storage .* node DatanodeRegistration(.*, datanodeUuid=.*, infoPort=.*, infoSecurePort=.*, ipcPort=.*, storageInfo=lv=.*;cid=.*;nsid=.*;c=.*), blocks: .*, hasStaleStorage: false, processing time: .* msecs"
27,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(155.230.91.228:50010, datanodeUuid=f5b2f78b-0b01-4ac6-b97e-231e7b222f86, infoPort=50075, infoSecurePort=0, ipcPort=50020, storageInfo=lv=-56;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0) storage f5b2f78b-0b01-4ac6-b97e-231e7b222f86",P16,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(.*, datanodeUuid=.*, infoPort=.*, infoSecurePort=.*, ipcPort=.*, storageInfo=lv=.*;cid=.*;nsid=.*;c=.*) storage .*"
28,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(155.230.91.229:50010, datanodeUuid=f2a4a3d9-cbe6-4687-ab71-97575b443a1e, infoPort=50075, infoSecurePort=0, ipcPort=50020, storageInfo=lv=-56;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0) storage f2a4a3d9-cbe6-4687-ab71-97575b443a1e",P16,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(.*, datanodeUuid=.*, infoPort=.*, infoSecurePort=.*, ipcPort=.*, storageInfo=lv=.*;cid=.*;nsid=.*;c=.*) storage .*"
29,INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Number of transactions: 2 Total time for transactions(ms): 8 Number of transactions batched in Syncs: 0 Number of syncs: 2 SyncTimes(ms): 10 ,P22,INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Number of transactions: .* Total time for transactions(ms): .* Number of transactions batched in Syncs: .* Number of syncs: .* SyncTimes(ms): .*
30,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* allocate blk_1073742391_1567{UCState=UNDER_CONSTRUCTION, truncateBlock=null, primaryNodeIndex=-1, replicas=[ReplicaUC[[DISK]DS-8c9519c2-2978-4f4b-94c2-c974e94b944f:NORMAL:155.230.91.227:50010|RBW], ReplicaUC[[DISK]DS-38949667-c925-4369-bce1-6383ea78fbae:NORMAL:155.230.91.229:50010|RBW], ReplicaUC[[DISK]DS-1affbaf3-c366-495a-8ef1-9323978258e8:NORMAL:155.230.91.228:50010|RBW]]} for /tmp/hadoop-yarn/staging/james/.staging/job_1514014057225_0001/job.jar",P28,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* allocate .*{UCState=.*, truncateBlock=.*, primaryNodeIndex=.*, replicas=.*} for .*"
31,"INFO BlockStateChange: BLOCK* addStoredBlock: blockMap updated: 155.230.91.227:50010 is added to blk_1073742391_1567{UCState=COMMITTED, truncateBlock=null, primaryNodeIndex=-1, replicas=[ReplicaUC[[DISK]DS-8c9519c2-2978-4f4b-94c2-c974e94b944f:NORMAL:155.230.91.227:50010|RBW], ReplicaUC[[DISK]DS-38949667-c925-4369-bce1-6383ea78fbae:NORMAL:155.230.91.229:50010|RBW], ReplicaUC[[DISK]DS-1affbaf3-c366-495a-8ef1-9323978258e8:NORMAL:155.230.91.228:50010|RBW]]} size 6161",P17,INFO BlockStateChange: BLOCK* addStoredBlock: blockMap updated: .* is added to .* size .*
